大数据分析工程师,广州-番禺区,广州大学,1.5-2.5万/月,06-23,"['广州-番禺区\xa0\xa0', '\xa0\xa05-7年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招若干人\xa0\xa0', '\xa0\xa006-23发布']","['教育/培训/院校,学术/科研']",['事业单位'],['1000-5000人'],"['岗位职责:', '1、负责大数据挖掘模型的开发，包括需求分析、模型设计、算法测试和优化；\xa0', '2、负责威胁情报挖掘或反欺诈等特定业务方向的数据专题分析和推荐引擎构建\xa0；', '3、负责公司大数据基础平台的开发和优化，保障平台稳定可靠，高效运行', '任职资格:', '1、本科以上学历；5年以上工作经历，\xa0具3年以上数据挖掘工作经验，有NLP、推荐引擎等领域大型项目经验优先；', '2、熟悉hadoop生态体系相关的组件：如spark、Hbase、kafka、Elasticsearch', '3、熟悉数据挖掘建模过程及主流算法；\xa0', '4、精通Python/Go/Java等编程语言至少一门，熟悉linux平台、shell编程；', '5、优秀的执行力，强烈的上进心和求知欲，较强的学习能力和沟通能力，具备良好的团队合作精神。', '6、在互联网反欺诈、大数据挖掘、分析等方面有工作经验者优先；', '薪酬福利:', '1、薪酬：15K-25K；', '2、五险一金；', '3、带薪年假']"
财务数据分析,上海-静安区,上海新创华文化发展有限公司,7-9千/月,06-23,"['上海-静安区\xa0\xa0', '\xa0\xa01年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa006-23发布']","['影视/媒体/艺术/文化传播,互联网/电子商务']",['民营公司'],['50-150人'],"['  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ', '  ']"
数据文员,广州-白云区,广州渠道无忧网络技术服务有限公司,3-4千/月,06-23,"['广州-白云区\xa0\xa0', '\xa0\xa0无需经验\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招2人\xa0\xa0', '\xa0\xa006-23发布']",['互联网/电子商务'],['民营公司'],['150-500人'],"['岗位职责：', '1、每天录入留言，数据真实无误；', '2、做每日指定人员的节点数据，反馈到具体的优化师；', '3、每天检查小组项目框架竞品词的分类,百度pc/手机创意；', '4、每天检查小组项目创意是否违规；', '5、每天检查小组推广帐户的无效和不宜推广的关键词及创意；', '6、找指定关键词和分基本框架；', '7、协助调户专员处理开启、暂停、改预算等紧急事情。', '任职要求：', '1.计算机专业、财务专业、电子商务专业优先，熟练办公软件；', '2.对数据敏感；', '3.具有良好的团队协作、沟通和分析能力，做事积极主动，有强列的责任心和敬业精神，能够吃苦耐劳，细致认真。', '【福利待遇】', '1、工作时间：周一至周五9:00-12:00,13:30-18:00 ；', '周六10:00-12:00,13:30-18:00，大小周工作制；', '2、购买五险：养老保险、医疗保险、工伤保险、失业保险、生育保险；', '3、带薪假期：婚假、产假、陪产假、丧假、年假等；', '【福利彩蛋】', '1、下午茶点：每周奶茶、点心、水果，各种零食应有尽有；', '2、定期体检：公司贴心为你提供年度体检；', '3、生日礼品：生日当月享受精美礼物一份；', '4、节日礼品：儿童节、端午节、中秋节、圣诞节等大大小小的节日，皆有公司准备的礼品。', '【特色活动】', '1、员工活动：团队聚会、户外拓展、年度运动会、员工生日会、员工旅游、篮球比赛、金话筒等；', '2、健身区域：公司设有健身房，让员工在工作之余拥有健康的体魄；', '【培训发展】', '1、培训发展：入职培训、技能培训、岗位培训、管理层培训、内部分享交流会、外部培训等；', '2、发展通道：每年一次调薪晋升机会，内部调岗，竞聘机会等；', '【公司官网】', 'http://www.qudao51.com']"
数据录入员,重庆-渝北区,北京蛋黄科技有限公司,100元/天,06-23,"['重庆-渝北区\xa0\xa0', '\xa0\xa0在校生/应届生\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招5人\xa0\xa0', '\xa0\xa006-23发布']","['互联网/电子商务,医疗/护理/卫生']",['创业公司'],['50-150人'],"['1）依托公司信息系统，对文本资料进行标准化录入与更新；', '2）核实录入数据信息的准确性。', '任职要求：', '1）本科以上学历，专业不限；', '2）熟练使用电脑、办公软件；', '3）学习能力强，工作认真负责，愿意系统学习大健康产业知识者优先。']"
大数据开发工程师,深圳-南山区,深圳市法本信息技术股份有限公司,1-1.5万/月,06-23,"['深圳-南山区\xa0\xa0', '\xa0\xa02年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招10人\xa0\xa0', '\xa0\xa006-23发布']","['计算机服务(系统、数据服务、维修),外包服务']",['上市公司'],['5000-10000人'],"['1、负责实时数据仓库实施和维护、ETL作业开发； ', '2、负责数据仓库问题查询，埋点问题分析，优化现有作业，保证数据服务稳定； ', '3、按时完成数据临时需求、数据提取等任务；', '岗位要求', '1、计算机、数学等相关专业本科以上学历； ', '2、具有两年以上数据开发工作经验，熟悉互联网行业常见的分析指标; ', '3、了解实时数据开发,熟悉HDFS相关数据组件,熟悉flink;', '4、有一定编程经验,熟悉java、scala、python中的一种;', '5、熟练使用SQL/HIVE、LINUX命令;', '6、有一定数仓建模经验;']"
数据仓库开发工程师,成都-武侯区,税友软件集团股份有限公司四川分公司,0.6-1.2万/月,06-23,"['成都-武侯区\xa0\xa0', '\xa0\xa02年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招3人\xa0\xa0', '\xa0\xa006-23发布']","['计算机软件,计算机服务(系统、数据服务、维修)']",['民营公司'],['150-500人'],"['岗位职责描述', '1、\xa0负责数据仓库开发，存储过程编写，数据模型研究，大数据研究等。', '2、\xa0熟悉Oracle下的分区，表空间，\xa0SQL性能调优等操作；', '3、\xa0熟悉常用的ETL工具，如：kettle，\xa0informatica等；', '4、\xa0熟悉常用的报表工具，如：Cognos等；', '5、\xa0有财税行业从业经验优先。\xa0', '学历专业要求', '1.本科以上学历，计算机相关专业。\xa0', '2.精通Oracle数据库管理，熟悉PL/SQL，能独立进行排错、调优。', '3.熟练掌握oracle数据库sql语句的执行计划及性能优化技术。', '5.具有方案、报告编写的能力。', '6.有良好的沟通技能及处理突发事件的能力。', '7.善于与人沟通，对工作认真负责，具备良好的团队合作、抗压能力。', '经验及技能', '数据层开发', '关键维度', '数据工程师']"
数据挖掘工程师,深圳-南山区,深圳得程数据科技有限公司,1.5-2万/月,06-23,"['深圳-南山区\xa0\xa0', '\xa0\xa03-4年经验\xa0\xa0', '\xa0\xa0本科\xa0\xa0', '\xa0\xa0招若干人\xa0\xa0', '\xa0\xa006-23发布']","['专业服务(咨询、人力资源、财会),计算机软件']",['民营公司'],['50-150人'],"['请认真看清楚要求在投递简历，谢谢', '要求：', '1、本科以上学历，数学、统计学或计算机等理科教育背景', '2、有3年以上数据挖掘和机器学习相关的实战经验', '3、有安全相关经验者优先', '4、有图计算，深度学习相关经验者优先', '5、良好的沟通和学习能力，能够快速掌握工作所需技能', '职责：', '1、主要负责利用大数据的能力，经验，算法，模型等建设情报能力系统', '2、结合深度学习和传统机器学习的技术从多个维度建立属性行为画像', '3、通过各种海量的异构的数据、探索路径、方法发现各种异常、情报、意图、追本溯源', '4、利用时间序列模型和预测模型等实时分析用户和机器的行为，从海量数据中挖掘异常行为点', '5、了解业界安全态势和热点，对黑产产业链深入分析；']"
数据运维,成都-金牛区,四川省梦创卿尘电子商务有限公司,4-5千/月,06-23,"['成都-金牛区\xa0\xa0', '\xa0\xa01年经验\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa006-23发布']","['快速消费品(食品、饮料、化妆品),互联网/电子商务']",['创业公司'],['50-150人'],"['岗位职责：', '1、负责系统平台的日常运维，包括巡检、监控、备份、故障处理、系统优化等提供技术支持；', '2、\xa0负责公司网络及其设备的维护、管理、故障排除等日常工作；', '3、基础生产环境、系统的维护及配置。', '4、提取系统数据供公司决策判断，维护会员数据完整性', '\xa0', '任职资格：', '1、熟悉Mysql数据库，熟练SQL语言和脚本', '2、了解通信行业、IT技术、移动互联网产品、有较强的学习能力，能熟练操作办公类软件；', '3、有社交电商经验、基本开发经验优先；', '4、勤奋、积极、有抗压能力，责任心强，沟通表达能力强，具有团队合作精神。']"
数据专员,上海-松江区,递一国际物流有限公司,6-8千/月,06-23,"['上海-松江区\xa0\xa0', '\xa0\xa01年经验\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa006-23发布']",['交通/运输/物流'],['民营公司'],['150-500人'],"['岗位职责：', '1、汇总数据、确保报表数据的及时性、完整性、准确性；\xa0', '2、完成具体指定的数据统计工作及对统计资料进行管理及归档；\xa0', '3、完成上级领导安排的其他工作；\xa0', '岗位要求：', '\xa01、电脑运用熟练，对excel函数、数据透视表等十分熟悉；\xa0', '2、擅长数据统计，对数字敏感；\xa0', '3、能够准时、准确的于规定之时效内，完成数据统计工作；\xa0', '4、做事严谨、细心，有较好的沟通能力和团队合作精神，抗压能力强；\xa0', '5、大专级以上学历。']"
IT数据主管兼招投标专员,深圳-福田区,深圳市汇诚征信管理顾问有限公司,6-8千/月,06-23,"['深圳-福田区\xa0\xa0', '\xa0\xa02年经验\xa0\xa0', '\xa0\xa0大专\xa0\xa0', '\xa0\xa0招1人\xa0\xa0', '\xa0\xa006-23发布']",['金融/投资/证券'],['民营公司'],['150-500人'],['负责公司电脑系统、打印机、服务器、网络运行、维护，IT数据主管兼招投标专员。']
